State,StarDiff
SA, 0.5
SA, 0.0
SA,-0.2
SA, 0.0
SA, 0.1
SA, 0.1
SA, 0.1
SA,-0.1
SA, 0.1
SA, 0.3
SA, 0.1
SA, 0.1
SA,-0.2
SA, 0.2
SA,-0.1
SA, 0.1
SA, 0.1
SA, 0.0
SA, 0.0
SA, 0.1
SA, 0.1
SA, 0.1
SA, 0.0
SA, 0.0
SA,-0.1
SA, 0.1
SA,-0.2
SA, 0.0
SA, 0.0
SA,-0.2
SA,-0.1
SA, 0.2
SA,-0.2
SA,-0.1
SA, 0.0
SA,-0.2
SA, 0.2
SA, 0.0
SA, 0.0
SA, 0.2
SA,-0.1
SA, 0.1
SA, 0.1
SA,-0.1
SA,-0.3
SA, 0.0
SA,-0.2
SA,-0.1
SA,-0.2
SA, 0.0
SA, 0.0
SA,-0.2
SA,-0.1
SA,-0.1
SA,-0.2
SA,-0.1
SA, 0.2
SA, 0.0
SA,-0.3
SA,-0.2
SA, 0.0
SA,-0.2
SA,-0.2
SA,-0.3
SA, 0.1
SA,-0.1
SA, 0.1
SA,-0.2
SA,-0.4
SA,-0.2
SA,-0.3
SA,-0.3
SA, 0.0
SA, 0.0
SA,-0.3
SA,-0.3
SA, 0.1
SA,-0.1
SA, 0.1
SA,-0.4
SA,-0.2
SA,-0.3
SA, 0.1
SA, 0.5
SA, 0.3
SA, 0.4
SA, 0.1
SA, 0.2
SA, 0.1
SA,-0.2
SA,-0.3
SA,-0.2
SA,-0.2
SA,-0.2
SA,-0.1
SA,-0.2
SA,-0.2
SA,-0.3
SA,-0.1
SA,-0.2
SA,-0.2
SA, 0.1
SA, 0.1
SA, 0.3
SA,-0.1
SA, 0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.1
SA, 0.2
SA, 0.1
SA, 0.1
SA, 0.4
SA, 0.3
SA, 0.4
SA, 0.3
SA, 0.3
SA, 0.4
SA, 0.4
SA, 0.4
SA, 0.3
SA, 0.4
SA, 0.1
SA, 0.0
SA, 0.0
SA, 0.2
SA, 0.1
SA, 0.1
SA, 0.2
SA, 0.2
SA, 0.1
SA, 0.1
SA, 0.2
SA, 0.3
SA, 0.2
SA, 0.2
SA, 0.4
SA, 0.3
SA, 0.4
SA, 0.4
SA, 0.3
SA, 0.3
SA, 0.4
SA, 0.4
SA, 0.4
SA, 0.1
SA, 0.0
TAS, 0.3
TAS, 0.1
TAS, 0.6
TAS, 0.1
TAS, 0.0
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS,-0.1
TAS, 0.1
TAS, 0.2
TAS, 0.0
TAS, 0.0
TAS, 0.5
TAS, 0.1
TAS, 0.1
TAS, 0.0
TAS, 0.5
TAS, 0.5
TAS, 0.1
TAS, 0.4
TAS, 0.3
TAS, 0.5
TAS, 0.1
TAS,-0.1
TAS, 0.1
TAS, 0.3
TAS, 0.2
TAS, 0.0
TAS, 0.0
TAS, 0.1
TAS, 0.1
TAS, 0.2
TAS, 0.1
TAS, 0.2
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.0
TAS, 0.1
TAS, 0.2
TAS, 0.1
TAS, 0.1
TAS, 0.2
TAS, 0.0
TAS, 0.2
TAS, 0.1
TAS, 0.3
TAS, 0.3
TAS, 0.2
TAS, 0.0
TAS,-0.1
TAS, 0.0
TAS, 0.2
TAS, 0.1
TAS, 0.4
TAS, 0.1
TAS, 0.1
TAS,-0.2
TAS,-0.2
TAS, 0.7
TAS, 0.1
TAS, 0.2
TAS, 0.3
TAS, 0.1
TAS, 0.4
TAS, 0.3
TAS, 0.2
TAS, 0.0
TAS, 0.2
TAS, 0.2
TAS, 0.1
TAS, 0.0
TAS, 0.2
TAS, 0.0
TAS, 0.3
TAS, 0.1
