Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
304,     ACT,2617,17,24,6.3,        Suburban,NA,128.44,42.62,3.16,95.8,82.2,41,0,0,0,0,134,0.1,5.5,2,2,1,3
305,     ACT,2617,17,24,6.3,        Suburban,NA,127.01,44.15,3.18,95.9,82.3,40.7,0,0,0,0,137,0.1,5.5,2,2,1,3
306,     ACT,2617,17,24,6.3,        Suburban,NA,128.44,42.62,3.16,95.8,82.2,41,0,0,0,0,134,0.1,5.5,2,2,1,3
307,     ACT,2617,17,24,6.3,        Suburban,NA,127.01,44.15,3.18,95.9,82.3,40.7,0,0,0,0,137,0.1,5.5,2,2,1,3
308,     ACT,2617,17,24,6.3,        Suburban,NA,128.44,42.62,3.16,95.8,82.2,41,0,0,0,0,134,0.1,5.5,2,2,1,3
309,     ACT,2617,17,24,6.3,        Suburban,NA,127.01,44.15,3.18,95.9,82.3,40.7,0,0,0,0,137,0.1,5.5,2,2,1,3
310,     ACT,2617,17,24,6.1,        Suburban,NA,147.59,45.05,2.98,95.8,82.2,41,0,0,0,0,63,0.1,5.5,2,2,1,3
311,     ACT,2914,18,24,7.3,        Suburban,NA,88.14,13.05,1.9,262.2,233.2,160.1,0,0,0,0,0,0.1,2.8,2,4,1,2
312,     ACT,2914,18,24,7.1,        Suburban,NA,97.72,13.68,1.9,262.2,233.2,160.1,0,0,0,0,0,0.1,2.8,2,4,1,2
313,     ACT,2614,18,24,6.4,        Suburban,NA,116.48,21.78,2.13,296.5,253.2,150.1,0,0,0,0,0,0.1,2.65,2,4,0,2
314,     ACT,2605,17,24,6.1,        Suburban,NA,166.66,13,1.6,126.8,129.8,65.7,0,0,0,0,0,0.1,2.5,2,4,0,2
315,     ACT,2605,17,24,6.1,        Suburban,NA,188.8,15.59,1.81,81.7,84.7,38.2,0,0,0,0,0,0.1,2.5,2,3,0,2
316,     ACT,2602,17,24,6.3,        Suburban,NA,115.62,29.42,2.46,248.6,215.6,140.9,0,0,0,0,0,0.1,2.65,2,4,0,2
317,     ACT,2602,17,24,6.3,        Suburban,NA,122.99,32.81,2.72,183.5,186.5,0,10200,102,0,0,0,0.6,3,2,5,1,2
318,     ACT,2615,17,24,5.9,        Suburban,NA,155.36,44.07,3.88,109,109,0,11000,110,0,0,0,0.6,0.6,2,3,0,1
319,     ACT,2602,18,24,7.3,        Suburban,NA,81.44,31.63,3.4,154.4,195.7,98,0,0,0,0,0,0.1,2.8,3,4,1,2
320,     ACT,2602,18,24,6,        Suburban,NA,148.94,15.31,1.98,239.3,188.6,239.3,0,0,0,0,0,0.1,0.1,3,4,0,1
