Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
304,     QLD,4221,18,10,5.2,            Open,NA,27.59,20.34,6.57,186.1,192.6,88.9,0,0,0,0,0,0.1,2.8,1,3,1,2
305,     QLD,4030,18,10,5.8,        Suburban,NA,23.02,21.93,6.53,152.3,122,61.9,0,0,0,0,66,0.2,5.35,1,3,1,3
306,     QLD,4030,18,10,6.2,        Suburban,NA,14.15,22.28,7.54,158.3,144.8,56.3,0,0,0,0,114,0.2,5.35,1,4,1,3
307,     QLD,4030,18,10,5.4,        Suburban,NA,10.11,38.46,9.26,124.4,108.9,65.3,0,0,0,0,48,0.2,5.35,1,3,1,3
308,     QLD,4151,18,10,6.4,        Suburban,NA,12.63,24.88,8.55,139.5,109.3,69.6,0,0,0,0,72,0.2,3.7,1,3,1,2
309,     QLD,4151,18,10,6.7,        Suburban,NA,10.53,22.17,9.22,126.1,110.8,62.4,0,0,0,0,143,0.2,3.7,1,3,1,2
310,     QLD,4151,18,10,5.8,        Suburban,NA,19.85,20.93,9.49,173.6,140.8,99.3,0,0,0,0,22,0.2,3.7,1,3,1,2
311,     QLD,4223,18,10,6.4,            Open,NA,19.5,12.77,4.4,240.75,244.75,10.6,0,230,0,0,0,0.1,2.64,2,5,0,2
312,     QLD,4007,19,10,5.1,        Suburban,NA,21.73,22.45,7.91,253.91,226.71,162.5,0,0,0,0,0,0.2,2.9,2,5,1,2
313,     QLD,4120,18,10,6.8,        Suburban,NA,18.4,17.43,7.02,123.8,106.8,67.3,0,0,0,0,49,0.2,2.85,1,3,1,2
314,     QLD,4120,18,10,5.9,        Suburban,NA,18.71,22.47,7.74,156.8,123.4,58,0,0,0,0,121,0.2,5.5,1,3,1,3
315,     QLD,4120,19,10,5.2,        Suburban,NA,26.01,25.13,8.31,153.8,123.8,66.5,0,0,0,0,72,0.2,5.55,1,3,1,3
316,     QLD,4221,18,10,5.5,            Open,NA,31.16,11.15,4.51,255.65,231.1,141.95,0,0,0,0,0,0.2,3.35,1,5,1,2
317,     QLD,4221,18,10,5.6,            Open,NA,29.97,13.23,5.1,237.45,213.95,132.3,0,0,0,0,0,0.2,3.35,1,4,1,2
318,     QLD,4007,18,10,6.1,        Suburban,NA,16.58,23.78,7.9,153.34,123.5,87.4,0,0,0,0,48,0.1,2.8,1,3,1,2
319,     QLD,4007,18,10,6.7,        Suburban,NA,15.08,18.28,8.01,129.35,130,56.9,0,0,0,0,54,0.1,2.8,1,3,1,2
320,     QLD,4152,18,10,7.7,        Suburban,NA,16.14,11.95,5.33,104.01,91.3,52.51,0,0,0,0,90,0.1,2.6,1,3,0,2
321,     QLD,4152,18,10,7.7,        Suburban,NA,15.2,13.69,4.95,130,108.6,74,0,0,0,0,48,0.1,2.6,2,3,0,2
322,     QLD,4152,18,10,6.2,        Suburban,NA,25.94,16.85,7.09,120.35,97,70.15,0,0,0,0,40,0.1,2.6,1,3,0,2
323,     QLD,4228,16,10,5.9,            Open,NA,10.35,29.48,11.15,128,128,128,0,0,0,0,0,0.1,0.1,1,2,0,1
324,     QLD,4213,16,10,6.4,            Open,NA,31.94,16.07,6.88,70.99,70.99,70.99,0,0,0,0,0,0.1,0.1,1,2,0,1
325,     QLD,4211,16,10,4.6,        Suburban,NA,35.11,27.83,8.55,120.5,120.5,98.5,0,0,0,0,0,1,1,1,2,0,1
326,     QLD,4212,16,10,5.4,        Suburban,NA,13.29,21.46,10.42,314.02,285.39,179.99,0,0,0,0,0,0.1,2.82,2,4,1,2
327,     QLD,4172,16,10,5.9,        Suburban,NA,22.39,16.92,10.34,149,112,48,0,0,0,0,123,0.1,5.25,1,3,1,3
328,     QLD,4172,16,10,5.9,        Suburban,NA,20.79,17.32,10.03,149,112,48,0,0,0,0,169,0.1,5.25,1,3,1,3
329,     QLD,4172,16,10,5.9,        Suburban,NA,20.35,16.92,10.38,149,112,48,0,0,0,0,169,0.1,5.25,1,3,1,3
330,     QLD,4172,16,10,6.6,        Suburban,NA,21.34,12.45,7.82,149,112,48,0,0,0,0,142,0.1,5.25,1,3,1,3
331,     QLD,4172,16,10,6.5,        Suburban,NA,17.48,18.87,7.66,148,111,48,0,0,0,0,82,0.1,5.25,1,3,1,3
332,     QLD,4172,16,10,5.1,        Suburban,NA,25.64,26.57,9.61,128.01,110.5,42,0,0,0,0,76,0.1,5.25,1,3,1,3
333,     QLD,4172,16,10,7,        Suburban,NA,12.45,17.41,8.02,121.01,103.5,42,0,0,0,0,133,0.1,5.25,1,3,1,3
334,     QLD,4172,16,10,7,        Suburban,NA,12.53,17.27,8.08,121.01,103.5,42,0,0,0,0,133,0.1,5.25,1,3,1,3
335,     QLD,4172,16,10,7.2,        Suburban,NA,11.59,16.47,7.79,134,118,50.5,0,0,0,0,121,0.1,5.25,1,3,1,3
336,     QLD,4172,16,10,6.7,        Suburban,NA,16.22,15.92,8.84,121.6,104.6,42,0,0,0,0,136,0.1,5.25,1,3,1,3
337,     QLD,4030,16,10,6.1,        Suburban,NA,22.36,17.98,7.83,155,122.5,61,0,0,0,0,72,0.1,6.01,1,3,2,3
338,     QLD,4030,16,10,6.1,        Suburban,NA,12.01,22.88,11.47,135,119.5,48,0,0,0,0,127,0.1,6.01,1,3,2,3
339,     QLD,4030,16,10,5.2,        Suburban,NA,27.19,22.2,10.22,144,127,47.5,0,0,0,0,70,0.1,6.01,1,3,2,3
340,     QLD,4223,17,10,5.3,            Open,NA,36.89,14.25,5.79,111.5,114,8.5,0,0,54.5,0,119,0.2,3,1,2,1,2
341,     QLD,4223,17,10,7,            Open,NA,16.95,11.03,9.73,94.1,96.6,9.2,0,0,54.5,0,157,0.2,3,1,1,1,2
342,     QLD,4223,17,10,5.9,            Open,NA,29.59,14.54,5.6,111.5,114,8.5,0,0,54.5,0,119,0.2,3,1,2,1,2
343,     QLD,4223,17,10,6.9,            Open,NA,17.46,11.19,9.82,94.1,96.6,9.2,0,0,54.5,0,157,0.2,3,1,1,1,2
344,     QLD,4223,17,10,4.9,            Open,NA,43.52,14.51,5.18,111.5,114,8.5,0,0,54.5,0,119,0.2,3,1,2,1,2
345,     QLD,4223,17,10,7,            Open,NA,16.95,11.03,9.73,94.1,96.6,9.2,0,0,54.5,0,157,0.2,3,1,1,1,2
346,     QLD,4223,17,10,6.9,            Open,NA,17.46,11.19,9.82,94.1,96.6,9.2,0,0,54.5,0,157,0.2,3,1,1,1,2
347,     QLD,4223,17,10,5.9,            Open,NA,28.8,14.47,5.61,111.5,114,8.5,0,0,54.5,0,119,0.2,3,1,2,1,2
348,     QLD,4218,17,10,4.6,            Open,NA,31.66,14.93,7.36,368.8,341.8,40.4,0,0,147.2,0,193,0.1,5,1,4,1,3
349,     QLD,4214,18,10,6.1,        Suburban,NA,12.22,25.12,9.32,113.9,118.4,9,0,0,100.4,0,143,0.1,3.27,1,2,1,2
350,     QLD,4221,16,10,4.1,            Open,NA,13.38,57.46,11.76,92.3,97.3,0,0,0,6.5,0,81,2.9,5.6,1,2,2,2
351,     QLD,4221,16,10,4.1,            Open,NA,16.5,46.82,15.76,92.3,97.3,0,0,0,51.5,0,126,2.9,5.6,1,2,2,2
352,     QLD,4184,16,10,4.7,        Suburban,NA,36.95,29.05,9.26,102.83,102.83,0,18500,185,0,0,0,0.5,0.5,1,1,0,1
353,     QLD,4215,17,10,6.2,        Suburban,NA,13.69,23.72,7.97,171.44,138.17,84.54,0,0,0,0,57,0.16,3,2,3,1,2
354,     QLD,4215,17,10,7.9,        Suburban,NA,8.11,13.23,6.18,179.44,146.17,87.39,0,0,0,0,117,0.16,3,2,3,1,2
355,     QLD,4215,17,10,7.1,        Suburban,NA,14.53,14.85,6.48,179.44,146.17,87.39,0,0,0,0,117,0.16,3,2,3,1,2
356,     QLD,4215,17,10,7.9,        Suburban,NA,8.03,13.28,6.21,179.44,146.17,87.39,0,0,0,0,117,0.16,3,2,3,1,2
357,     QLD,4213,16,10,5.3,            Open,NA,22.17,12.63,4.48,609.1,526,549,0,0,0,0,0,0.1,2.8,1,7,1,2
358,     QLD,4225,18,10,5.2,         Exposed,NA,34.6,15.85,4.5,205.7,170.7,72.5,0,0,0,0,25,0.2,7.1,2,3,2,3
359,     QLD,4225,18,10,5.4,         Exposed,NA,26.36,18.74,5.27,223.6,190.6,72.4,0,0,0,0,49,0.2,5.6,2,3,2,3
360,     QLD,4225,18,10,4.9,         Exposed,NA,36.4,16.58,4.96,218.6,185.6,72.4,0,0,0,0,24,0.2,5.6,2,3,2,3
361,     QLD,4225,18,10,5.3,         Exposed,NA,33.61,13.45,5.17,238.9,183.4,107.9,0,0,0,0,73,0.2,6.7,2,3,2,3
362,     QLD,4225,18,10,5.3,         Exposed,NA,24.92,18.92,8.01,239,183.4,107.9,0,0,0,0,163,0.2,6.7,2,3,2,3
363,     QLD,4225,18,10,5,         Exposed,NA,29.97,18.36,7.84,239,183.4,107.9,0,0,0,0,95,0.2,6.7,2,3,2,3
364,     QLD,4225,18,10,5.2,         Exposed,NA,16.97,27.73,9.17,239,183.4,107.9,0,0,0,0,78,0.2,6.7,2,3,2,3
365,     QLD,4225,18,10,5,         Exposed,NA,25.24,23.03,9.01,211,161.1,55.8,0,0,21,0,206,0.2,6.7,2,3,2,3
366,     QLD,4225,18,10,5.3,         Exposed,NA,33.14,14.85,5.48,199.65,166.6,103.4,0,0,0,0,62,1,3.7,1,3,1,2
367,     QLD,4225,18,10,5.3,         Exposed,NA,24.57,21.09,7.81,199.65,166.6,103.4,0,0,0,0,133,1,3.7,1,3,1,2
368,     QLD,4225,18,10,5.3,         Exposed,NA,24.57,21.09,7.81,199.65,166.6,103.4,0,0,0,0,133,1,3.7,1,3,1,2
369,     QLD,4225,18,10,5.3,         Exposed,NA,24.57,21.09,7.81,199.65,166.6,103.4,0,0,0,0,133,1,3.7,1,3,1,2
