Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
158,     QLD,4102,15,10,7.1,        Suburban,NA,12.54,18.33,13.07,47.09,47.09,47.09,0,0,0,47.09,59,0.5,0.5,1,1,0,1
159,     QLD,4102,15,10,7.5,        Suburban,NA,7.48,14.62,10.06,75.81,75.81,0,0,0,75.81,75.81,179,3.4,3.4,1,2,1,1
160,     QLD,4102,15,10,8.1,        Suburban,NA,3.51,14.69,7.76,68.12,68.12,0,0,0,68.12,68.22,185,3.4,3.4,1,2,1,1
161,     QLD,4102,15,10,8.4,        Suburban,NA,4.21,11.93,7.51,68.17,68.17,0,0,0,68.17,68.17,180,3.4,3.4,1,2,1,1
162,     QLD,4102,15,10,5.6,        Suburban,NA,4.09,26.97,18.53,47.43,47.43,0,0,0,47.43,47.43,143,3.4,3.4,1,1,1,1
163,     QLD,4102,15,10,7.7,        Suburban,NA,2.36,17.83,10.77,74.09,74.09,0,0,0,74.09,73.9,172,3.4,3.4,1,2,1,1
164,     QLD,4102,15,10,6.9,        Suburban,NA,9.7,17.77,10.28,75.59,75.59,0,0,0,75.59,75.4,175,3.4,3.4,1,2,1,1
165,     QLD,4102,15,10,4.8,        Suburban,NA,19.07,26.12,16.49,51.06,51.06,0,0,0,51.06,51.06,158,3.4,3.4,1,1,1,1
166,     QLD,4102,15,10,4.8,        Suburban,NA,17.6,27.33,16.81,46.11,46.11,0,0,0,46.11,46.11,144,3.4,3.4,1,1,1,1
167,     QLD,4102,15,10,4.8,        Suburban,NA,17.92,26.22,16.52,46.11,46.11,0,0,0,46.11,46.11,146,3.4,3.4,1,1,1,1
168,     QLD,4102,15,10,4.7,        Suburban,NA,15.46,28.72,18.22,51.06,51.06,0,0,0,51.06,51.06,159,3.4,3.4,1,1,1,1
169,     QLD,4102,15,10,4.4,        Suburban,NA,24.34,31.13,16.13,52.95,52.95,0,0,0,52.95,53.79,132,3.4,3.4,1,1,1,1
170,     QLD,4102,15,10,8.1,        Suburban,NA,5.95,12.7,7.76,70.65,70.65,0,0,0,70.65,70.65,171,3.4,3.4,1,2,1,1
171,     QLD,4102,15,10,8.4,        Suburban,NA,3.27,12.08,7.18,68.49,68.49,0,0,0,68.49,68.49,196,3.4,3.4,1,2,1,1
172,     QLD,4102,15,10,7.6,        Suburban,NA,8.02,14.38,8.97,65.44,65.44,0,0,0,65.44,65.44,184,3.4,3.4,1,2,1,1
173,     QLD,4102,15,10,7.3,        Suburban,NA,5.28,18.74,9.95,74.93,74.93,0,0,0,74.93,74.95,186,3.4,3.4,1,2,1,1
174,     QLD,4102,15,10,6.9,        Suburban,NA,16.24,13.29,9.52,65.3,65.3,0,0,0,52.65,65.3,140,3.4,3.4,1,2,1,1
175,     QLD,4102,15,10,7.5,        Suburban,NA,7.71,14.47,10.14,75.81,75.81,0,0,0,75.81,75.81,179,6.3,6.3,1,2,2,1
176,     QLD,4102,15,10,8.1,        Suburban,NA,3.68,14.56,7.77,68.12,68.12,0,0,0,68.12,68.22,185,6.3,6.3,1,2,2,1
177,     QLD,4102,15,10,8.4,        Suburban,NA,4.45,11.68,7.53,68.17,68.17,0,0,0,68.17,68.17,180,6.3,6.3,1,2,2,1
178,     QLD,4102,15,10,5.6,        Suburban,NA,4.33,26.94,18.91,47.43,47.43,0,0,0,47.43,47.43,143,6.3,6.3,1,1,2,1
179,     QLD,4102,15,10,7.8,        Suburban,NA,2.56,17.01,10.29,74.09,74.09,0,0,0,74.09,73.9,172,6.3,6.3,1,2,2,1
180,     QLD,4102,15,10,6.9,        Suburban,NA,10.17,17.23,10,75.59,75.59,0,0,0,75.59,75.4,175,6.3,6.3,1,2,2,1
181,     QLD,4102,15,10,5.4,        Suburban,NA,10.07,26.33,16.64,51.06,51.06,0,0,0,51.06,51.06,158,6.3,6.3,1,1,2,1
182,     QLD,4102,15,10,5.4,        Suburban,NA,11.15,25.56,16.3,46.11,46.11,0,0,0,46.11,46.11,144,6.3,6.3,1,1,2,1
183,     QLD,4102,15,10,5.1,        Suburban,NA,13.65,25.82,16.82,46.11,46.11,0,0,0,46.11,46.11,146,6.3,6.3,1,1,2,1
184,     QLD,4102,15,10,5.3,        Suburban,NA,9.2,27.68,17.77,51.06,51.06,0,0,0,51.06,51.06,159,6.3,6.3,1,1,2,1
185,     QLD,4102,15,10,4.4,        Suburban,NA,23.75,30.31,15.56,52.95,52.95,0,0,0,52.95,53.79,132,6.3,6.3,1,1,2,1
186,     QLD,4102,15,10,8.2,        Suburban,NA,6.34,12.21,7.48,70.65,70.65,0,0,0,70.65,70.65,171,6.3,6.3,1,2,2,1
187,     QLD,4102,15,10,8.4,        Suburban,NA,3.6,12.3,7.18,68.49,68.49,0,0,0,68.49,68.49,196,6.3,6.3,1,2,2,1
188,     QLD,4102,15,10,7.6,        Suburban,NA,8.5,13.92,8.84,65.44,65.44,0,0,0,65.44,65.44,184,6.3,6.3,1,2,2,1
189,     QLD,4102,15,10,7.3,        Suburban,NA,5.61,18.41,9.67,74.93,74.93,0,0,0,74.93,74.95,186,6.3,6.3,1,2,2,1
190,     QLD,4102,15,10,7.4,        Suburban,NA,10.63,13.69,9.77,65.3,65.3,0,0,0,65.3,65.3,153,6.3,6.3,1,2,2,1
191,     QLD,4102,15,10,7,            Open,NA,17.31,14.86,8.8,75.81,75.81,0,0,0,690.25,0,409,9.2,9.2,1,2,3,1
192,     QLD,4102,15,10,7.9,            Open,NA,13.61,12.57,6.34,68.12,68.12,0,0,0,692.12,0,428,9.2,9.2,1,2,3,1
193,     QLD,4102,15,10,8.4,            Open,NA,8.52,12.32,6.41,68.17,68.17,0,0,0,692.17,0,425,9.2,9.2,1,2,3,1
194,     QLD,4102,15,10,5.1,            Open,NA,13.98,37.19,17.75,47.43,47.43,0,0,0,713.43,0,430,9.2,9.2,1,1,3,1
195,     QLD,4102,15,10,7.9,            Open,NA,12.14,12.64,6.18,74.09,74.09,0,0,0,687.01,0,405,9.2,9.2,1,2,3,1
196,     QLD,4102,15,10,5.7,            Open,NA,25.53,19.61,10.38,75.59,75.59,0,0,0,640.79,0,383,9.2,9.2,1,2,3,1
197,     QLD,4102,15,10,5.8,            Open,NA,17.53,32.62,15.3,51.06,51.06,0,0,0,51.06,0,107,9.2,9.2,1,1,3,1
198,     QLD,4102,15,10,4.7,            Open,NA,20.91,37.12,16.96,46.11,46.11,0,0,0,670.51,0,410,9.2,9.2,1,1,3,1
199,     QLD,4102,15,10,4.5,            Open,NA,21.34,39.51,18.07,46.11,46.11,0,0,0,670.71,0,412,9.2,9.2,1,1,3,1
200,     QLD,4102,15,10,4.9,            Open,NA,17,36.65,17.48,51.06,51.06,0,0,0,665.66,0,415,9.2,9.2,1,1,3,1
201,     QLD,4102,15,10,4,            Open,NA,32.74,43.94,12.31,52.95,52.95,0,0,0,661.75,0,382,9.2,9.2,1,1,3,1
202,     QLD,4102,15,10,8.1,            Open,NA,8.52,11.44,6.93,70.65,70.65,0,0,0,70.65,70.65,171,9.2,9.2,1,2,3,1
