Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
3126,     VIC,3631,16,66, 6.10,        Suburban,NA,176.01,15.38,     1.37,232.41,195.19,232.41,0,0,0,0,0,0.4,0.4,2,4,0,1
3127,     VIC,3691,16,66, 6.00,        Suburban,NA,202.13,7.79,     1.25,202.4,166.34,202.4,0,0,0,0,0,0.47,0.47,2,4,0,1
3128,     VIC,3631,16,66, 6.10,        Suburban,NA,188.12,17.35,     1.27,185.53,148.6,185.53,0,0,0,0,0,0.32,0.32,1,3,0,1
3130,     VIC,3373,16,66, 5.90,        Suburban,NA,195.87,19.89,     1.84,185.29,151.97,185.29,0,0,0,0,0,0.4,0.4,2,4,0,1
3131,     VIC,3629,16,66, 6.70,        Suburban,NA,157.17,14.81,     1.55,175.88,139.15,175.88,0,0,0,0,0,0.26,0.77,2,4,0,1
3132,     VIC,3451,16,66, 6.10,        Suburban,NA,157.04,23.31,     1.83,271.29,238.11,271.29,0,0,0,0,0,0.32,0.32,3,5,0,1
3133,     VIC,3358,16,66, 6.00,        Suburban,NA,193.5,13.87,     1.59,201.44,161.25,201.44,0,0,0,0,0,0.4,0.4,2,3,0,1
3134,     VIC,3342,16,66, 6.20,        Suburban,NA,201.36,14.47,     1.61,156.19,122.49,156.19,0,0,0,0,0,0.4,0.4,1,3,0,1
3135,     VIC,3672,16,66, 6.10,        Suburban,NA,172.55,16.69,     1.53,249.77,216.04,249.77,0,0,0,0,0,0.32,0.32,3,4,0,1
3136,     VIC,3469,16,66, 6.70,            Open,NA,156.52,10.61,     1.36,173.28,173.28,173.28,0,0,0,0,0,0.4,0.4,3,2,0,1
3137,     VIC,3691,16,66, 6.80,        Suburban,NA,156.39,12.92,     1.48,179.81,143.75,179.81,0,0,0,0,0,0.38,0.38,1,4,0,1
3138,     VIC,3444,16,66, 6.00,        Suburban,NA,205.86,2.5,     0.88,190.58,155.6,190.58,0,0,0,0,0,0.25,0.25,2,4,0,1
3139,     VIC,3630,16,66, 5.90,        Suburban,NA,178.49,7.74,     1.23,331.94,258.23,331.94,0,0,0,0,0,0.4,0.4,3,4,0,1
3140,     VIC,3352,16,66, 6.50,        Suburban,NA,188.01,9.15,     1.33,147.99,114.82,147.99,0,0,0,0,0,0.4,0.4,1,3,0,1
3141,     VIC,3364,16,66, 6.00,            Open,NA,197.38,11.03,     1.19,203.92,167.43,203.92,0,0,0,0,0,0.4,0.4,2,4,0,1
3142,     VIC,3722,17,66, 5.90,        Suburban,NA,167.57,19.43,     1.91,271.16,229.69,271.16,0,0,0,0,0,0.4,0.4,3,4,0,1
3143,     VIC,3775,16,66, 6.40,        Suburban,NA,162.19,24.47,     1.74,196.91,163.73,196.91,0,0,0,0,0,0.31,0.31,3,4,0,1
3144,     VIC,3658,16,66, 6.10,        Suburban,NA,195.14,21,     1.91,166.85,133.14,166.85,0,0,0,0,0,0.31,0.31,2,3,0,1
3145,     VIC,3356,17,66, 6.70,        Suburban,NA,173.83,3.79,     1.00,182.68,137.25,182.68,0,0,0,0,0,0.4,0.4,1,4,0,1
3146,     VIC,3691,17,66, 6.20,        Suburban,NA,189.81,9.09,     1.40,202.4,166.34,202.4,0,0,0,0,0,0.7,0.7,2,4,0,1
3147,     VIC,3714,17,66, 6.30,            Open,NA,190.52,8.87,     1.41,173.36,140.03,173.36,0,0,0,0,0,0.32,0.32,2,4,0,1
3148,     VIC,3688,17,66, 6.90,            Open,NA,138.56,11.85,     1.75,226.44,193.26,226.44,0,0,0,0,0,0.38,0.38,3,4,0,1
3149,     VIC,3551,16,66, 6.10,        Suburban,NA,185.54,14.56,     1.52,209.72,173.66,209.72,0,0,0,0,0,0.32,0.32,3,4,0,1
3150,     VIC,3630,16,66, 5.70,        Suburban,NA,179.11,4.89,     0.89,418.28,326.31,418.28,0,0,0,0,0,0.38,0.38,2,5,0,1
3151,     VIC,3364,17,66, 5.90,            Open,NA,172.76,8.41,     1.12,331.55,295.28,331.55,0,0,0,0,0,0.4,0.4,3,3,0,1
3153,     VIC,3350,16,66, 6.60,        Suburban,NA,154.33,10.36,     1.56,224.8,191.62,224.8,0,0,0,0,0,0.4,0.4,2,4,0,1
3154,     VIC,3677,16,66, 6.10,        Suburban,NA,173.24,13.15,     1.65,255.73,208.48,255.73,0,0,0,0,0,0.38,0.38,2,4,0,1
3155,     VIC,3631,16,66, 6.40,        Suburban,NA,154.32,15.77,     1.89,242.06,206,242.06,0,0,0,0,0,0.4,0.4,3,4,0,1
3157,     VIC,3551,17,66, 6.00,        Suburban,NA,179.83,18.68,     1.95,232.67,190.77,232.67,0,0,0,0,0,0.32,0.32,3,4,0,1
3158,     VIC,3352,17,66, 6.00,            Open,NA,158.2,12.77,     1.40,363.46,330.23,363.46,0,0,0,0,0,0.4,0.4,3,5,0,1
3159,     VIC,3355,17,66, 6.60,        Suburban,NA,168.16,7.48,     1.31,197.26,164.08,197.26,0,0,0,0,0,0.4,0.4,3,4,0,1
3160,     VIC,3608,17,66, 6.20,        Suburban,NA,209.1,4.38,     0.96,166.93,133.75,166.93,0,0,0,0,0,0.32,0.32,1,3,0,1
3161,     VIC,3630,17,66, 6.30,        Suburban,NA,175.79,16.18,     1.85,188.78,155.6,188.78,0,0,0,0,0,0.4,0.4,2,4,0,1
3162,     VIC,3691,17,66, 6.80,        Suburban,NA,159.37,14.03,     1.48,179.81,143.75,179.81,0,0,0,0,0,0.38,0.38,1,4,0,1
3163,     VIC,3666,17,66, 6.20,        Suburban,NA,167.38,10.79,     1.65,244.05,210.5,244.05,0,0,0,0,0,0.47,0.47,2,4,0,1
3164,     VIC,3629,17,66, 6.80,        Suburban,NA,160.7,11.33,     1.38,171.48,138.43,171.48,0,0,0,0,0,0.32,0.32,2,3,0,1
