Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
67,     VIC,3008,17,21, 7.40,       Protected,NA,46.95,29.15,     7.48,37.3,37.3,0,0,0,37.3,0,84,15.33,15.33,1,1,5,1
68,     VIC,3008,17,21, 7.40,       Protected,NA,46.96,29.15,     7.48,37.3,37.3,0,0,0,37.3,0,84,15.33,15.33,1,1,5,1
69,     VIC,3008,17,21, 8.20,       Protected,NA,29.19,15.9,     6.51,37.3,37.3,0,0,0,37.3,37.3,122,12.38,12.38,1,1,4,1
70,     VIC,3008,17,21, 8.20,       Protected,NA,27.15,16.41,     6.56,37.3,37.3,0,0,0,37.3,37.3,122,9.43,9.43,1,1,3,1
71,     VIC,3008,17,21, 7.90,       Protected,NA,41.58,14.68,     5.76,38.45,38.45,0,0,0,38.45,38.45,110,9.43,9.43,1,1,3,1
72,     VIC,3008,17,21, 7.90,       Protected,NA,39.7,15.06,     6.02,38.45,38.45,0,0,0,38.45,38.45,110,6.48,6.48,1,1,2,1
73,     VIC,3008,17,21, 7.80,       Protected,NA,44.3,13.67,     5.41,38.45,38.45,0,0,0,38.45,38.45,110,12.38,12.38,1,1,4,1
74,     VIC,3008,17,21, 7.60,       Protected,NA,38.6,26.05,     7.16,37.3,37.3,0,0,0,37.3,12.4,97,15.33,15.33,1,1,5,1
75,     VIC,3008,17,21, 7.10,       Protected,NA,59.71,28.24,     6.31,38.45,38.45,0,0,0,38.45,0,72,15.33,15.33,1,1,5,1
76,     VIC,3008,17,21, 7.30,       Protected,NA,57.69,23.62,     5.49,47.6,47.6,0,0,0,47.6,0,90,15.33,15.33,1,2,5,1
77,     VIC,3008,17,21, 8.00,       Protected,NA,39.09,12.31,     4.81,47.6,47.6,0,0,0,47.6,47.6,137,9.43,9.43,1,2,3,1
78,     VIC,3008,17,21, 8.00,       Protected,NA,40.33,12.19,     4.67,47.6,47.6,0,0,0,47.6,47.6,137,12.38,12.38,1,2,4,1
79,     VIC,3008,17,21, 7.90,       Protected,NA,51.6,11.28,     4.26,49.75,49.75,0,5320,53.2,0,49.75,104,3,3,1,2,1,1
80,     VIC,3008,17,21, 7.60,            Open,NA,51.6,19.3,     3.38,45.25,45.25,0,0,0,0,45.25,94,18.53,18.53,1,1,6,1
81,     VIC,3008,17,21, 8.10,       Protected,NA,29.94,18.05,     7.11,35.7,35.7,0,0,0,35.7,35.7,113,9.43,9.43,1,1,3,1
82,     VIC,3008,17,21, 8.20,       Protected,NA,27.32,16.17,     6.76,37.3,37.3,0,0,0,37.3,37.3,122,6.48,6.48,1,1,2,1
83,     VIC,3008,17,21, 8.20,       Protected,NA,28.92,15.63,     6.64,37.3,37.3,0,0,0,37.3,37.3,122,9.43,9.43,1,1,3,1
84,     VIC,3008,17,21, 7.90,            Open,NA,33.52,21.19,     3.52,45.25,45.25,0,0,0,45.25,45.25,139,21.5,21.5,1,1,7,1
85,     VIC,3008,17,21, 8.00,       Protected,NA,35.16,15.08,     6.49,37.3,37.3,0,0,0,37.3,37.3,115,12.38,12.38,1,1,4,1
86,     VIC,3008,17,21, 7.90,            Open,NA,34.28,20.85,     3.46,45.25,45.25,0,0,0,45.25,45.25,139,24.47,24.47,1,1,8,1
87,     VIC,3008,17,21, 7.40,         Exposed,NA,58.13,17.4,     3.18,45.25,45.25,0,0,0,0,45.25,94,33.38,33.38,1,1,11,1
88,     VIC,3008,17,21, 7.50,         Exposed,NA,57.6,17.4,     3.19,45.25,45.25,0,0,0,0,45.25,94,30.41,30.41,1,1,10,1
